% GROUP B1. NODAL DATA
% CARD B1.1   DEFAULTS
%  CHP CHPT  QQP QQPT  ALF  CON CONT  DMT DFTACTH

% CARD B1.2
%   N      X(N)      Y(N)      Z(N)   BTRA(N)  HBASE(N)     CBASE(N)
    1   0.00000   0.00000   0.00000       1.0
    2   0.05000   0.00000   0.00000       1.0
    3   0.10000   0.00000   0.00000       1.0
    4   0.15000   0.00000   0.00000       1.0
    5   0.20000   0.00000   0.00000       1.0
    6   0.25000   0.00000   0.00000       1.0
    7   0.30000   0.00000   0.00000       1.0
    8   0.35000   0.00000   0.00000       1.0
    9   0.40000   0.00000   0.00000       1.0
   10   0.45000   0.00000   0.00000       1.0
   11   0.50000   0.00000   0.00000       1.0
   12   0.55000   0.00000   0.00000       1.0
   13   0.60000   0.00000   0.00000       1.0
   14   0.65000   0.00000   0.00000       1.0
   15   0.70000   0.00000   0.00000       1.0
   16   0.75000   0.00000   0.00000       1.0
   17   0.80000   0.00000   0.00000       1.0
   18   0.85000   0.00000   0.00000       1.0
   19   0.90000   0.00000   0.00000       1.0
   20   0.95000   0.00000   0.00000       1.0
   21   1.00000   0.00000   0.00000       1.0
   22   1.05000   0.00000   0.00000       1.0
   23   1.10000   0.00000   0.00000       1.0
   24   1.15000   0.00000   0.00000       1.0
   25   1.20000   0.00000   0.00000       1.0
   26   1.25000   0.00000   0.00000       1.0
   27   1.30000   0.00000   0.00000       1.0
   28   1.35000   0.00000   0.00000       1.0
   29   1.40000   0.00000   0.00000       1.0
   30   1.45000   0.00000   0.00000       1.0
   31   1.50000   0.00000   0.00000       1.0
   32   1.55000   0.00000   0.00000       1.0
   33   1.60000   0.00000   0.00000       1.0
   34   1.65000   0.00000   0.00000       1.0
   35   1.70000   0.00000   0.00000       1.0
   36   1.75000   0.00000   0.00000       1.0
   37   1.80000   0.00000   0.00000       1.0
   38   1.85000   0.00000   0.00000       1.0
   39   1.90000   0.00000   0.00000       1.0
   40   1.95000   0.00000   0.00000       1.0
   41   2.00000   0.00000   0.00000       1.0
   42   2.05000   0.00000   0.00000       1.0
   43   2.10000   0.00000   0.00000       1.0
   44   2.15000   0.00000   0.00000       1.0
   45   2.20000   0.00000   0.00000       1.0
   46   2.25000   0.00000   0.00000       1.0
   47   2.30000   0.00000   0.00000       1.0
   48   2.35000   0.00000   0.00000       1.0
   49   2.40000   0.00000   0.00000       1.0
   50   2.45000   0.00000   0.00000       1.0
   51   2.50000   0.00000   0.00000       1.0
   52   2.55000   0.00000   0.00000       1.0
   53   2.60000   0.00000   0.00000       1.0
   54   2.65000   0.00000   0.00000       1.0
   55   2.70000   0.00000   0.00000       1.0
   56   2.75000   0.00000   0.00000       1.0
   57   2.80000   0.00000   0.00000       1.0
   58   2.85000   0.00000   0.00000       1.0
   59   2.90000   0.00000   0.00000       1.0
   60   2.95000   0.00000   0.00000       1.0
   61   3.00000   0.00000   0.00000       1.0
   62   3.05000   0.00000   0.00000       1.0
   63   3.10000   0.00000   0.00000       1.0
   64   3.15000   0.00000   0.00000       1.0
   65   3.20000   0.00000   0.00000       1.0
   66   3.25000   0.00000   0.00000       1.0
   67   3.30000   0.00000   0.00000       1.0
   68   3.35000   0.00000   0.00000       1.0
   69   3.40000   0.00000   0.00000       1.0
   70   3.45000   0.00000   0.00000       1.0
   71   3.50000   0.00000   0.00000       1.0
   72   3.55000   0.00000   0.00000       1.0
   73   3.60000   0.00000   0.00000       1.0
   74   3.65000   0.00000   0.00000       1.0
   75   3.70000   0.00000   0.00000       1.0
   76   3.75000   0.00000   0.00000       1.0
   77   3.80000   0.00000   0.00000       1.0
   78   3.85000   0.00000   0.00000       1.0
   79   3.90000   0.00000   0.00000       1.0
   80   3.95000   0.00000   0.00000       1.0
   81   4.00000   0.00000   0.00000       1.0
   82   4.05000   0.00000   0.00000       1.0
   83   4.10000   0.00000   0.00000       1.0
   84   4.15000   0.00000   0.00000       1.0
   85   4.20000   0.00000   0.00000       1.0
   86   4.25000   0.00000   0.00000       1.0
   87   4.30000   0.00000   0.00000       1.0
   88   4.35000   0.00000   0.00000       1.0
   89   4.40000   0.00000   0.00000       1.0
   90   4.45000   0.00000   0.00000       1.0
   91   4.50000   0.00000   0.00000       1.0
   92   4.55000   0.00000   0.00000       1.0
   93   4.60000   0.00000   0.00000       1.0
   94   4.65000   0.00000   0.00000       1.0
   95   4.70000   0.00000   0.00000       1.0
   96   4.75000   0.00000   0.00000       1.0
   97   4.80000   0.00000   0.00000       1.0
   98   4.85000   0.00000   0.00000       1.0
   99   4.90000   0.00000   0.00000       1.0
  100   4.95000   0.00000   0.00000       1.0
  101   5.00000   0.00000   0.00000       1.0
  102   5.05000   0.00000   0.00000       1.0
  103   5.10000   0.00000   0.00000       1.0
  104   5.15000   0.00000   0.00000       1.0
  105   5.20000   0.00000   0.00000       1.0
  106   5.25000   0.00000   0.00000       1.0
  107   5.30000   0.00000   0.00000       1.0
  108   5.35000   0.00000   0.00000       1.0
  109   5.40000   0.00000   0.00000       1.0
  110   5.45000   0.00000   0.00000       1.0
  111   5.50000   0.00000   0.00000       1.0
  112   5.55000   0.00000   0.00000       1.0
  113   5.60000   0.00000   0.00000       1.0
  114   5.65000   0.00000   0.00000       1.0
  115   5.70000   0.00000   0.00000       1.0
  116   5.75000   0.00000   0.00000       1.0
  117   5.80000   0.00000   0.00000       1.0
  118   5.85000   0.00000   0.00000       1.0
  119   5.90000   0.00000   0.00000       1.0
  120   5.95000   0.00000   0.00000       1.0
  121   6.00000   0.00000   0.00000       1.0
  122   6.05000   0.00000   0.00000       1.0
  123   6.10000   0.00000   0.00000       1.0
  124   6.15000   0.00000   0.00000       1.0
  125   6.20000   0.00000   0.00000       1.0
  126   6.25000   0.00000   0.00000       1.0
  127   6.30000   0.00000   0.00000       1.0
  128   6.35000   0.00000   0.00000       1.0
  129   6.40000   0.00000   0.00000       1.0
  130   6.45000   0.00000   0.00000       1.0
  131   6.50000   0.00000   0.00000       1.0
  132   6.55000   0.00000   0.00000       1.0
  133   6.60000   0.00000   0.00000       1.0
  134   6.65000   0.00000   0.00000       1.0
  135   6.70000   0.00000   0.00000       1.0
  136   6.75000   0.00000   0.00000       1.0
  137   6.80000   0.00000   0.00000       1.0
  138   6.85000   0.00000   0.00000       1.0
  139   6.90000   0.00000   0.00000       1.0
  140   6.95000   0.00000   0.00000       1.0
  141   7.00000   0.00000   0.00000       1.0
  142   7.05000   0.00000   0.00000       1.0
  143   7.10000   0.00000   0.00000       1.0
  144   7.15000   0.00000   0.00000       1.0
  145   7.20000   0.00000   0.00000       1.0
  146   7.25000   0.00000   0.00000       1.0
  147   7.30000   0.00000   0.00000       1.0
  148   7.35000   0.00000   0.00000       1.0
  149   7.40000   0.00000   0.00000       1.0
  150   7.45000   0.00000   0.00000       1.0
  151   7.50000   0.00000   0.00000       1.0
  152   7.55000   0.00000   0.00000       1.0
  153   7.60000   0.00000   0.00000       1.0
  154   7.65000   0.00000   0.00000       1.0
  155   7.70000   0.00000   0.00000       1.0
  156   7.75000   0.00000   0.00000       1.0
  157   7.80000   0.00000   0.00000       1.0
  158   7.85000   0.00000   0.00000       1.0
  159   7.90000   0.00000   0.00000       1.0
  160   7.95000   0.00000   0.00000       1.0
  161   8.00000   0.00000   0.00000       1.0
  162   8.05000   0.00000   0.00000       1.0
  163   8.10000   0.00000   0.00000       1.0
  164   8.15000   0.00000   0.00000       1.0
  165   8.20000   0.00000   0.00000       1.0
  166   8.25000   0.00000   0.00000       1.0
  167   8.30000   0.00000   0.00000       1.0
  168   8.35000   0.00000   0.00000       1.0
  169   8.40000   0.00000   0.00000       1.0
  170   8.45000   0.00000   0.00000       1.0
  171   8.50000   0.00000   0.00000       1.0
  172   8.55000   0.00000   0.00000       1.0
  173   8.60000   0.00000   0.00000       1.0
  174   8.65000   0.00000   0.00000       1.0
  175   8.70000   0.00000   0.00000       1.0
  176   8.75000   0.00000   0.00000       1.0
  177   8.80000   0.00000   0.00000       1.0
  178   8.85000   0.00000   0.00000       1.0
  179   8.90000   0.00000   0.00000       1.0
  180   8.95000   0.00000   0.00000       1.0
  181   9.00000   0.00000   0.00000       1.0
  182   9.05000   0.00000   0.00000       1.0
  183   9.10000   0.00000   0.00000       1.0
  184   9.15000   0.00000   0.00000       1.0
  185   9.20000   0.00000   0.00000       1.0
  186   9.25000   0.00000   0.00000       1.0
  187   9.30000   0.00000   0.00000       1.0
  188   9.35000   0.00000   0.00000       1.0
  189   9.40000   0.00000   0.00000       1.0
  190   9.45000   0.00000   0.00000       1.0
  191   9.50000   0.00000   0.00000       1.0
  192   9.55000   0.00000   0.00000       1.0
  193   9.60000   0.00000   0.00000       1.0
  194   9.65000   0.00000   0.00000       1.0
  195   9.70000   0.00000   0.00000       1.0
  196   9.75000   0.00000   0.00000       1.0
  197   9.80000   0.00000   0.00000       1.0
  198   9.85000   0.00000   0.00000       1.0
  199   9.90000   0.00000   0.00000       1.0
  200   9.95000   0.00000   0.00000       1.0
  201  10.00000   0.00000   0.00000       1.0
  202  10.05000   0.00000   0.00000       1.0
  203  10.10000   0.00000   0.00000       1.0
  204  10.15000   0.00000   0.00000       1.0
  205  10.20000   0.00000   0.00000       1.0
  206  10.25000   0.00000   0.00000       1.0
  207  10.30000   0.00000   0.00000       1.0
  208  10.35000   0.00000   0.00000       1.0
  209  10.40000   0.00000   0.00000       1.0
  210  10.45000   0.00000   0.00000       1.0
  211  10.50000   0.00000   0.00000       1.0
  212  10.55000   0.00000   0.00000       1.0
  213  10.60000   0.00000   0.00000       1.0
  214  10.65000   0.00000   0.00000       1.0
  215  10.70000   0.00000   0.00000       1.0
  216  10.75000   0.00000   0.00000       1.0
  217  10.80000   0.00000   0.00000       1.0
  218  10.85000   0.00000   0.00000       1.0
  219  10.90000   0.00000   0.00000       1.0
  220  10.95000   0.00000   0.00000       1.0
  221  11.00000   0.00000   0.00000       1.0
  222  11.05000   0.00000   0.00000       1.0
  223  11.10000   0.00000   0.00000       1.0
  224  11.15000   0.00000   0.00000       1.0
  225  11.20000   0.00000   0.00000       1.0
  226  11.25000   0.00000   0.00000       1.0
  227  11.30000   0.00000   0.00000       1.0
  228  11.35000   0.00000   0.00000       1.0
  229  11.40000   0.00000   0.00000       1.0
  230  11.45000   0.00000   0.00000       1.0
  231  11.50000   0.00000   0.00000       1.0
  232  11.55000   0.00000   0.00000       1.0
  233  11.60000   0.00000   0.00000       1.0
  234  11.65000   0.00000   0.00000       1.0
  235  11.70000   0.00000   0.00000       1.0
  236  11.75000   0.00000   0.00000       1.0
  237  11.80000   0.00000   0.00000       1.0
  238  11.85000   0.00000   0.00000       1.0
  239  11.90000   0.00000   0.00000       1.0
